Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Kyle Gibson","PHI",10,8,0,31,31,167.2,7.729622735366532,2.576540911788844,1.288270455894422,0.30831643002028397,0.67703109,0.45898438,0.13872832,92.27114972741433,5.045725952253153,4.46,4.275452941012339,3.942076619900073,1.8226262331008911,"Kyle Gibson",10123,502043
"Robbie Ray","SEA",12,12,0,32,32,189,10.095238095238095,2.9523809523809526,1.5238095238095237,0.28354978354978355,0.81196581,0.39227642,0.15533981,93.5742448351419,3.7142857142857144,3.59,4.165341054573261,3.5778071774061395,1.7513290643692017,"Robbie Ray",11486,592662
"Charlie Morton","ATL",9,6,0,31,31,172,10.726744186046512,3.296511627906977,1.4651162790697674,0.2922705314009662,0.75995807,0.39772727,0.16470588,94.90524193548387,4.343023255813954,4.11,4.25777983887251,3.6046565753429434,1.4814046621322632,"Charlie Morton",4676,450203
"Nick Pivetta","BOS",10,12,0,33,33,179.2,8.766234262568162,3.6567720066712903,1.3525047147962306,0.3002028397565923,0.7527881,0.38461538,0.12385321,93.60759694850604,4.558441816535444,4.65,4.420408812268617,4.263009156211632,1.4648122787475586,"Nick Pivetta",15454,601713
"Jordan Lyles","BAL",12,11,0,32,32,179,7.240223463687151,2.6145251396648046,1.3072625698324023,0.3125,0.73770492,0.4021164,0.11403509,91.93292410714285,4.424581005586592,4.94,4.3973472027805265,4.394689236872689,1.4359012842178345,"Jordan Lyles",7593,543475
"Cole Irvin","OAK",9,13,0,30,30,181,6.3646408839779,1.7900552486187846,1.2430939226519337,0.27339449541284405,0.71428571,0.37655417,0.10548523,90.90260299493814,3.977900552486188,4.4,4.20635365359691,4.349157790271617,1.4124722480773926,"Cole Irvin",19244,608344
"Germán Márquez","COL",9,13,0,31,31,181.2,7.431193076664248,3.1211010921989844,1.4862386153328497,0.29135338345864664,0.68095238,0.47584973,0.16853933,95.71241603387851,4.9541287177761655,4.49,4.714265953744168,4.017967312394434,1.4011383056640625,"German Marquez",15038,608566
"José Berríos","TOR",12,7,0,32,32,172,7.796511627906977,2.354651162790698,1.5174418604651163,0.32755298651252407,0.70895522,0.40295749,0.13488372,93.99330504966888,5.232558139534884,5.11,4.548477513291115,4.207078803122736,1.1023881435394287,"Jose Berrios",14168,621244
"José Urquidy","HOU",13,8,0,29,28,164.1,7.3387426206497475,2.0811359670499283,1.5882353432749454,0.2642706131078224,0.78914141,0.36,0.12946429,93.60237630208333,3.9432049901998645,4.56,4.5972180658742685,4.3209670217459415,1.050225853919983,"Jose Urquidy",18413,664353
"Marco Gonzales","SEA",10,15,0,32,32,183,5.065573770491803,2.459016393442623,1.4754098360655739,0.2765598650927487,0.73684211,0.42003231,0.12295082,88.7399959276406,4.131147540983607,4.59,5.052321712045722,4.895000043006543,0.05355140194296837,"Marco Gonzales",15467,594835
